departamentocodigo,departamentonombre,municipiocodigo,municipionombre,agente,bandera,direccion,producto,precio,estado,fecharegistro
5,antioquia,5001,MEDELLIN,ESTACION DE SERVICIO TECNICENTRO LOS COLORES,MOBIL,Calle 53 No 72 - 7,GASOLINA CORRIENTE OXIGENADA,9080,1,2018-05-03T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIO EL CENTRO PALMIRA,TEXACO,CALLE 29 No. 32-15,GASOLINA CORRIENTE OXIGENADA,9050,1,2018-05-03T00:00:00.000
5,antioquia,5660,SAN LUIS,ESTACION DE SERVICIO LOS ARAGONES,ZEUSS,AUTOPISTA MEDELLIN - BOGOTA KILOMETRO 110 VEREDA LA PALESTINA,GASOLINA EXTRA OXIGENADA,12055,1,2018-05-03T00:00:00.000
5,antioquia,5890,YOLOMBO,ESTACION DE SERVICIO LA MARQUESA,ZEUSS,Calle 12 No.14-10,GASOLINA CORRIENTE OXIGENADA,8990,1,2018-05-03T00:00:00.000
76,valle del cauca,76111,GUADALAJARA DE BUGA,ESSO STAMBUL,MOBIL,Calle 1 No.10-35,GASOLINA EXTRA OXIGENADA,11930,1,2018-05-03T00:00:00.000
5,antioquia,5380,LA ESTRELLA,EDS COMDECOM PUERTO ESTRELLA,TEXACO,CALLE 77 No. 54-51,BIODIESEL EXTRA,8780,1,2018-05-03T00:00:00.000
5,antioquia,5360,ITAGUI,ESTACION DE SERVICIO TEXACO COLTEJER,TEXACO,CARRERA 52 No. 60-110,GASOLINA CORRIENTE OXIGENADA,8790,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO MOBIL PASOANCHO,MOBIL,CALLE 13 No. 52-92,GASOLINA EXTRA OXIGENADA,11640,1,2018-05-03T00:00:00.000
76,valle del cauca,76892,YUMBO,ESTACION DE SERVICIOS TERPEL YUMBO,TERPEL,CALLE 16 No. 4-40,BIODIESEL EXTRA,8190,1,2018-05-03T00:00:00.000
5,antioquia,5001,MEDELLIN,SERVICENTRO ESSO ESTADIO,MOBIL,Carrera 70 No. 49 B -28,GASOLINA CORRIENTE OXIGENADA,8930,1,2018-05-03T00:00:00.000
5,antioquia,5038,ANGOSTURA,ESTACION DE SERVICIO A.C LLANOS DE CUIVA,ZEUSS,KILOMETRO 94 VIA LA COSTA(VIA AL MAR),GASOLINA CORRIENTE OXIGENADA,9089,1,2018-05-03T00:00:00.000
5,antioquia,5541,EL PEÑOL,EDS LA CATEDRAL,ZEUSS,CARRERA 22  G No. 6-06,BIODIESEL EXTRA,8709,1,2018-05-03T00:00:00.000
76,valle del cauca,76520,PALMIRA,ESTACION DE SERVICIOS PARAISO,TERPEL,TRANSVERSAL 30 No. 1-229,BIODIESEL EXTRA,8450,1,2018-05-03T00:00:00.000
5,antioquia,5154,CAUCASIA,ESTACION DE SERVICIO KENNEDY CAUCASIA,TEXACO,CARRERA 8  No. 22 - 28,GASOLINA CORRIENTE OXIGENADA,9422,1,2018-05-03T00:00:00.000
76,valle del cauca,76001,SANTIAGO DE CALI,ESTACION DE SERVICIO TERPEL EDS LA 44,TERPEL,CALLE 44 No. 1D-51,GASOLINA EXTRA OXIGENADA,11270,1,2018-05-03T00:00:00.000
5,antioquia,5425,MACEO,ESTACION DE SERVICIO DISTRACOM MACEO,ZEUSS,CALLE 27 No 31-37,GASOLINA CORRIENTE OXIGENADA,9140,1,2018-05-03T00:00:00.000
